producto;precio;tiempo;habitacion
AmericanBreakfast;18000;desayuno;False
HuevosPericos;12000;desayuno;False
Waffles;11000;desayuno;True
CerealConLeche;5000;desayuno;True
Bunuelo;2500;desayuno;True
FiletMignon;35000;almuerzo;False
LomoDeRes;32000;almuerzo;True
LomoDeCerdo;30000;almuerzo;True
BabyBeef;36000;almuerzo;True
PolloGrille;26000;almuerzo;False
PolloAlCurry;30000;almuerzo;False
SopaDeTomate;18000;almuerzo;False
PerroCaliente;17000;almuerzo,comida;True
Hamburguesa;19000;almuerzo,comida;True
Alitas;36000;comida;True
Nuggets;15000;comida;True
PalitosDeQueso;7000;comida;True
Pasta;22000;comida;False
Empanadas;9000;comida;False
