fechaInicial;dia;tipo de habitacion;extra
1/01/2023;lunes, martes;estandar;100000
2/01/2023;lunes, martes;estandar;100000
3/01/2023;lunes, martes;estandar;100000
4/01/2023;lunes, martes;estandar;100000
5/01/2023;lunes, martes;estandar;100000
6/01/2023;lunes, martes;estandar;100000
7/01/2023;lunes, martes;estandar;100000
8/01/2023;viernes, sabado, domingo;estandar;200000
9/01/2023;viernes, sabado, domingo;estandar;200000
10/01/2023;viernes, sabado, domingo;estandar;200000
11/01/2023;viernes, sabado, domingo;estandar;200000
12/01/2023;viernes, sabado, domingo;estandar;200000
13/01/2023;viernes, sabado, domingo;estandar;200000
14/01/2023;viernes, sabado, domingo;estandar;200000
15/01/2023;lunes;estandar;300000
16/01/2023;lunes;estandar;300000
17/01/2023;lunes;estandar;300000
18/01/2023;lunes;estandar;300000
19/01/2023;lunes;estandar;300000
20/01/2023;lunes;estandar;300000
21/01/2023;lunes;estandar;300000
22/01/2023;sabado, domingo;estandar;100000
23/01/2023;sabado, domingo;estandar;100000
24/01/2023;sabado, domingo;estandar;100000
25/01/2023;sabado, domingo;estandar;100000
26/01/2023;sabado, domingo;estandar;100000
27/01/2023;sabado, domingo;estandar;100000
28/01/2023;sabado, domingo;estandar;100000
29/01/2023;martes;estandar;200000
30/01/2023;martes;estandar;200000
31/01/2023;martes;estandar;200000
1/02/2023;martes;estandar;200000
2/02/2023;martes;estandar;200000
3/02/2023;martes;estandar;200000
4/02/2023;martes;estandar;200000
5/02/2023;sabado, domingo;estandar;300000
6/02/2023;sabado, domingo;estandar;300000
7/02/2023;sabado, domingo;estandar;300000
8/02/2023;sabado, domingo;estandar;300000
9/02/2023;sabado, domingo;estandar;300000
10/02/2023;sabado, domingo;estandar;300000
11/02/2023;miercoles;estandar;300000
12/02/2023;miercoles;estandar;100000
13/02/2023;miércoles;estandar;100000
14/02/2023;miercoles;estandar;100000
15/02/2023;miercoles;estandar;100000
16/02/2023;miercoles;estandar;100000
17/02/2023;miercoles;estandar;100000
18/02/2023;miercoles;estandar;100000
19/02/2023;sabado;estandar;200000
20/02/2023;sabado;estandar;200000
21/02/2023;sabado;estandar;200000
22/02/2023;sabado;estandar;200000
23/02/2023;sabado;estandar;200000
24/02/2023;sabado;estandar;200000
25/02/2023;sabado;estandar;200000
26/02/2023;lunes, martes;estandar;300000
27/02/2023;lunes, martes;estandar;300000
28/02/2023;lunes, martes;estandar;300000
1/03/2023;lunes, martes;estandar;300000
2/03/2023;lunes, martes;estandar;300000
3/03/2023;lunes, martes;estandar;300000
4/03/2023;lunes, martes;estandar;300000
5/03/2023;viernes, sabado, domingo;estandar;100000
6/03/2023;viernes, sabado, domingo;estandar;100000
7/03/2023;viernes, sabado, domingo;estandar;100000
8/03/2023;viernes, sabado, domingo;estandar;100000
9/03/2023;viernes, sabado, domingo;estandar;100000
10/03/2023;viernes, sabado, domingo;estandar;100000
11/03/2023;viernes, sabado, domingo;estandar;100000
12/03/2023;lunes;estandar;200000
13/03/2023;lunes;estandar;200000
14/03/2023;lunes;estandar;200000
15/03/2023;lunes;estandar;200000
16/03/2023;lunes;estandar;200000
17/03/2023;lunes;estandar;200000
18/03/2023;lunes;estandar;200000
19/03/2023;sabado, domingo;estandar;300000
20/03/2023;sabado, domingo;estandar;300000
21/03/2023;sabado, domingo;estandar;300000
22/03/2023;sabado, domingo;estandar;300000
23/03/2023;sabado, domingo;estandar;300000
24/03/2023;sabado, domingo;estandar;300000
25/03/2023;sabado, domingo;estandar;300000
26/03/2023;martes;estandar;100000
27/03/2023;martes;estandar;100000
28/03/2023;martes;estandar;100000
29/03/2023;martes;estandar;100000
30/03/2023;martes;estandar;100000
31/03/2023;martes;estandar;100000
1/04/2023;martes;estandar;100000
2/04/2023;sabado, domingo;estandar;200000
3/04/2023;sabado, domingo;estandar;200000
4/04/2023;sabado, domingo;estandar;200000
5/04/2023;sabado, domingo;estandar;200000
6/04/2023;sabado, domingo;estandar;200000
7/04/2023;sabado, domingo;estandar;200000
8/04/2023;miercoles;estandar;200000
9/04/2023;miercoles;estandar;300000
10/04/2023;miércoles;estandar;300000
11/04/2023;miercoles;estandar;300000
12/04/2023;miercoles;estandar;300000
13/04/2023;miercoles;estandar;300000
14/04/2023;miercoles;estandar;300000
15/04/2023;miercoles;estandar;300000
16/04/2023;sabado;estandar;100000
17/04/2023;sabado;estandar;100000
18/04/2023;sabado;estandar;100000
19/04/2023;sabado;estandar;100000
20/04/2023;sabado;estandar;100000
21/04/2023;sabado;estandar;100000
22/04/2023;sabado;estandar;100000
23/04/2023;lunes, martes;estandar;200000
24/04/2023;lunes, martes;estandar;200000
25/04/2023;lunes, martes;estandar;200000
26/04/2023;lunes, martes;estandar;200000
27/04/2023;lunes, martes;estandar;200000
28/04/2023;lunes, martes;estandar;200000
29/04/2023;lunes, martes;estandar;200000
30/04/2023;viernes, sabado, domingo;estandar;300000
1/05/2023;viernes, sabado, domingo;estandar;300000
2/05/2023;viernes, sabado, domingo;estandar;300000
3/05/2023;viernes, sabado, domingo;estandar;300000
4/05/2023;viernes, sabado, domingo;estandar;300000
5/05/2023;viernes, sabado, domingo;estandar;300000
6/05/2023;viernes, sabado, domingo;estandar;300000
7/05/2023;lunes;estandar;100000
8/05/2023;lunes;estandar;100000
9/05/2023;lunes;estandar;100000
10/05/2023;lunes;estandar;100000
11/05/2023;lunes;estandar;100000
12/05/2023;lunes;estandar;100000
13/05/2023;lunes;estandar;100000
14/05/2023;sabado, domingo;estandar;200000
15/05/2023;sabado, domingo;estandar;200000
16/05/2023;sabado, domingo;estandar;200000
17/05/2023;sabado, domingo;estandar;200000
18/05/2023;sabado, domingo;estandar;200000
19/05/2023;sabado, domingo;estandar;200000
20/05/2023;sabado, domingo;estandar;200000
21/05/2023;martes;estandar;300000
22/05/2023;martes;estandar;300000
23/05/2023;martes;estandar;300000
24/05/2023;martes;estandar;300000
25/05/2023;martes;estandar;300000
26/05/2023;martes;estandar;300000
27/05/2023;martes;estandar;300000
28/05/2023;sabado, domingo;estandar;100000
29/05/2023;sabado, domingo;estandar;100000
30/05/2023;sabado, domingo;estandar;100000
31/05/2023;sabado, domingo;estandar;100000
1/06/2023;sabado, domingo;estandar;100000
2/06/2023;sabado, domingo;estandar;100000
3/06/2023;miercoles;estandar;100000
4/06/2023;miercoles;estandar;200000
5/06/2023;miércoles;estandar;200000
6/06/2023;miercoles;estandar;200000
7/06/2023;miercoles;estandar;200000
